game_id;score;date
1;2;2021-04-13 23:27:24
2;1;2021-04-13 23:40:47
3;8;2021-04-13 23:41:43
4;0;2021-04-14 00:25:31
5;0;2021-04-14 00:28:46
6;0;2021-04-14 00:28:49
